name,price
"Tom Ford Noir Extreme - 2ml Spray (30 Sprays),Tom Ford Noir Extreme - 5ml Spray (75 Sprays),Tom Ford Noir Extreme - 10ml Spray (150 Sprays)","[12.0, 25.0, 40.0]"
"Terre d'Hermes EDT - 5ml Spray (75 Sprays),Terre d'Hermes EDT - 10ml Spray (150 Sprays)","[15.0, 25.0]"
"Tom Ford Lost Cherry EDP - 2ml Spray (30 Sprays),Tom Ford Lost Cherry EDP - 5ml Spray (75 Sprays),Tom Ford Lost Cherry EDP - 10ml Spray (150 Sprays)","[20.0, 40.0, 70.0]"
"Rochas Moustache EDP - 5ml Spray (75 Sprays),Rochas Moustache EDP - 10ml Sprays (150 Sprays)","[12.0, 20.0]"
"Prada L'homme EDT - 5ml Spray (75 Sprays),Prada L'homme EDT - 10ml Spray (150 Sprays)","[18.0, 30.0]"
"Prada Amber Pour Homme - 5ml Spray (75 Sprays),Prada Amber Pour Homme - 10ml Spray (150 Sprays)","[15.0, 25.0]"
"Polo Ralph Lauren Polo Blue EDT - 5ml Spray (75 Sprays),Polo Ralph Lauren Polo Blue EDT - 10ml Spray (150 Sprays)","[10.0, 18.0]"
"Parfums de Marly Sedley - 2ml Spray (30 Sprays),Parfums de Marly Sedley - 5ml Spray (75 Sprays),Parfums de Marly Sedley - 10ml Spray (150 Sprays)","[12.0, 25.0, 40.0]"
"Rasasi Hawas EDP - 5ml Spray (75 Sprays),Rasasi Hawas EDP - 10ml Spray (150 Sprays)","[16.0, 28.0]"
"Prada Luna Rossa Carbon EDT - 5ml Spray (75 Sprays),Prada Luna Rossa Carbon EDT - 10ml Spray (150 Sprays)","[15.0, 25.0]"
"Prada La Femme L'eau - 5ml Spray (75 Sprays),Prada La Femme L'eau - 10ml Spray (150 Sprays)","[15.0, 25.0]"
"Parfums de Marly Pegasus - 2ml Spray (30 Sprays),Parfums de Marly Pegasus - 5ml Spray (75 Sprays),Parfums de Marly Pegasus - 10ml Spray (150 Sprays)","[15.0, 30.0, 55.0]"
"Parfums de Marly Oajan - 2ml Spray (30 Sprays),Parfums de Marly Oajan - 5ml Spray (75 Sprays),Parfums de Marly Oajan - 10ml Spray (150 Sprays)","[15.0, 30.0, 55.0]"
"Parfums de Marly Layton Exclusif - 2ml Spray (30 Sprays),Parfums de Marly Layton Exclusif - 5ml Spray (75 Sprays),Parfums de Marly Layton Exclusif - 10ml Spray (150 Sprays)","[20.0, 40.0, 70.0]"
"Parfums de Marly Percival - 2ml Spray (30 Sprays),Parfums de Marly Percival - 5ml Spray (75 Sprays),Parfums de Marly Percival - 10ml Spray (150 Sprays)","[15.0, 30.0, 55.0]"
"Parfums de Marly Kalan - 2ml Spray (30 Sprays),Parfums de Marly Kalan - 5ml Spray (75 Sprays),Parfums de Marly Kalan - 10ml Spray (150 Sprays)","[15.0, 30.0, 55.0]"
"Parfums de Marly Layton - 2ml Spray (30 Sprays),Parfums de Marly Layton - 5ml Spray (75 Sprays),Parfums de Marly Layton - 10ml Spray (150 Sprays)","[15.0, 30.0, 55.0]"
"Parfums de Marly Haltane (UK Exclusive) - 2ml Spray (30 Sprays),Parfums de Marly Haltane (UK Exclusive) - 5ml Spray (75 Sprays),Parfums de Marly Haltane (UK Exclusive) - 10ml Spray (150 Sprays)","[25.0, 50.0, 90.0]"
"Parfums de Marly Habdan - 2ml Spray (30 Sprays),Parfums de Marly Habdan - 5ml Spray (75 Sprays),Parfums de Marly Habdan - 10ml Spray (150 Sprays)","[15.0, 30.0, 55.0]"
"Yves Saint Laurent YSL Tuxedo - 2ml Spray (30 Sprays),Yves Saint Laurent YSL Tuxedo - 5ml Spray (75 Sprays),Yves Saint Laurent YSL Tuxedo - 10ml Spray (150 Sprays)","[18.0, 35.0, 60.0]"
"Yves Saint Laurent YSL Y EDP - 5ml Spray (75 Sprays),Yves Saint Laurent YSL Y EDP - 10ml Spray (150 Sprays)","[18.0, 30.0]"
"Yves Saint Laurent YSL Libre EDP - 5ml Spray (75 Sprays),Yves Saint Laurent YSL Libre EDP - 10ml Spray (150 Sprays)","[20.0, 35.0]"
"Yves Saint Laurent YSL La Nuit de L'homme Bleu Electrique - 5ml Spray (75 Sprays),Yves Saint Laurent YSL La Nuit de L'homme Bleu Electrique - 10ml Spray (150 Sprays)","[25.0, 40.0]"
"Yves Saint Laurent YSL Black Opium EDP - 5ml Spray (75 Sprays),Yves Saint Laurent YSL Black Opium EDP - 10ml Spray (150 Sprays)","[20.0, 36.0]"
"Yves Saint Laurent YSL La Nuit De L'homme - 5ml Spray (75 Sprays),Yves Saint Laurent YSL La Nuit De L'homme - 10ml Spray (150 Sprays)","[15.0, 25.0]"
"Xerjoff Zefiro EDP - 2ml Spray (30 Sprays),Xerjoff Zefiro EDP - 5ml Spray (75 Sprays),Xerjoff Zefiro EDP - 10ml Spray (150 Sprays)","[15.0, 30.0, 55.0]"
"Versace Man Eau Friache - 5ml Spray (75 Sprays),Versace Man Eau Friache - 10ml Spray (150 Sprays)","[10.0, 18.0]"
"Xerjoff Renaissance EDP - 2ml Spray (30 Sprays),Xerjoff Renaissance EDP - 5ml Spray (75 Sprays),Xerjoff Renaissance EDP - 10ml Spray (150 Sprays)","[15.0, 30.0, 55.0]"
